HOSP_NAME,HOSP_TYPE,DISTRICT_NAME,SPECIALTY_NAME,HOSP_CONTACT_NO,HOSP_EMAIL_ID,HOSP_ADDRESS
DRISHTI CENTER FOR ADVANCED EYE CARE,PrivateP,ALMORA,Opthalmology                                                    (SE) ,9690956781,drishtialmoraofficial@gmail.com,Malla joshi khola near savoy hotel
SLS DISTIRCT HOSPITAL BAGESHWAR ,Public,BAGESHWAR,Orthopaedics (S5) ,9897638665,distt.hospitalbgr11@gmail.com,BANKHOLA NEAR SARYU BRIGDE
chc kapkot,Public,BAGESHWAR,,7535988872,chckapkot@gmail.com,Chc kapkot Bageshwar
MOHAN SINGH MEHTA CHC BAIJNATH,Public,BAGESHWAR,"Paediatric cancer (M4) ,Paediatric medical management (M2) ",9927581340,chcbaijnath@gmail.com,Garur
CHC KANDA,Public,BAGESHWAR,"Obstetrics & Gynaecology (S4) ,Orthopaedics (S5) ,Paediatric surgery (S14) ,Follow up Surgical (M13) ,Paediatric medical management (M2) ,Mental Disorders Packages (M8) ,Surgical Oncology (S15) ,Paediatric cancer (M4) ",8954724742,chcbageshwar@gmail.com,chc kanda
COMMUNITY HEALTH CENTRE KARANPRAYAG,Public,CHAMOLI,"General Surgery (S1) ,Medical Oncology (M5) ,Mental Disorders Packages (M8) ,Follow up Surgical (M13) ,Obstetrics & Gynaecology (S4) ,,Orthopaedics (S5) ,Otorhinolaryngology (S2) ,Opthalmology (S3) ,Paediatric surgery (S14) ,Paediatric medical management (M2) ,Paediatric cancer (M4) ",8475076045,dcdeepak985@gmail.com,SDH  Karanprayag
CHC GAIRSAIN,Public,CHAMOLI,"Paediatric medical management (M2) ,Obstetrics & Gynaecology (S4) ,Orthopaedics (S5) ",9582479042,chcgairsainchamoli@gmail.com,Dak bangla road  Gairsain chamoli
CHC THARALI,Public,CHAMOLI,"Paediatric medical management (M2) ,Mental Disorders Packages (M8) ,Orthopaedics (S5) ,Obstetrics & Gynaecology (S4) ",7351790145,bpmutharali@gmail.com,CHC THARALI
LATE SHRI NARENDRA SINGH BHANDARI MEMORIAL DISTRICT HOSPITAL GOPASWAR CHAMOLI,Public,CHAMOLI,"Paediatric cancer (M4) ,Medical Oncology (M5) ,Paediatric medical management (M2) ,Mental Disorders Packages (M8) ,General Surgery (S1) ,Orthopaedics (S5) ,Follow up Surgical (M13) ,Otorhinolaryngology (S2) ,Opthalmology (S3) ,Obstetrics & Gynaecology (S4) ",7668377541,sandeepsainjwal73@gmial.com,LATE SHRI NARENDRA SINGH BHANDARI MEMORIAL DISTRICT HOSPITAL GOPASWAR CHAMOLI
CHC Joshimath,Public,CHAMOLI,"Paediatric medical management (M2) ,Obstetrics & Gynaecology (S4) ",9917118242,sonukum9917@gmail.com,Near-Narsingh Mandir
CHC POKHARI,Public,CHAMOLI,"Obstetrics & Gynaecology (S4) ,Mental Disorders Packages (M8) ,Orthopaedics (S5) ,Paediatric medical management (M2) ",9761804595,chcpokhari@gmail.com,vinayakdhar
CHC GHAT,Public,CHAMOLI,"Obstetrics & Gynaecology (S4) ,Paediatric medical management (M2) ",7895126155,bphcghat@gmail.com,chc ghat 
DH Champawat,Public,CHAMPAWAT,"Paediatric medical management (M2) ,General Surgery (S1) ,Orthopaedics (S5) ,Paediatric cancer (M4) ,Interventional Neuroradiology (S9) ,,Opthalmology (S3) ",9897920872,dhchampawat2020@gmail.com,"DISTRICT HOSPITAL, Tanakpur Road CHAMPAWAT"
CHC Lohaghat,Public,CHAMPAWAT,,9808906014,sdhlohaghat@gmail.com,bajrangbali ward near raamleela field
combined hospital tanakpur,Public,CHAMPAWAT,,8755141187,chtanakpur@gmail.com,Combined Hospital Tanakpur
JEEVAN ANMOL MULTI SPECIALITY HOSPITAL,PrivateP,CHAMPAWAT,"Orthopaedics                                                    (SB) ,General Medicine                                                (MG) ,Paediatric Medical management                                   (MP) ,Neo-natal care Packages                                         (MN) ,Obstetrics   Gynaecology                                        (SO) ",9410718191,jeevananmol.tpadesk@gmail.com,"Near MES Camp Tanakpur Road, Champawat Uttarakhand"
govt doon medical college hospital dehradun,Public,DEHRADUN,"Paediatric medical management (M2) ,Follow up Surgical (M13) ,Mental Disorders Packages (M8) ,Emergency Room Packages (Care requiring less than 12 hrs stay) (M7) ,Radiation Oncology (M6) ,Medical Oncology (M5) ,,Paediatric cancer (M4) ,General Medicine (M1) ,Oral and Maxillofacial Surgery (S16) ,,Surgical Oncology (S15) ,Paediatric surgery (S14) ,Cardio-thoracic & Vascular surgery (S13) ,Cardiology (S12) ,Burns management (S11) ,Plastic & reconstructive (S10) ,Interventional Neuroradiology (S9) ,Neurosurgery (S8) ,Urology (S7) ,General Surgery (S1) ,Otorhinolaryngology (S2) ,Opthalmology (S3) ,Obstetrics & Gynaecology (S4) ,Orthopaedics (S5) ",9956867228,govtdoonhospital@gmail.com,New court road Dehradun
CHC Doiwala,Public,DEHRADUN,"Paediatric medical management (M2) ,Orthopaedics (S5) ,Paediatric cancer (M4) ,Otorhinolaryngology (S2) ",9634886527,ayushmanbharatdoiwala@gmail.com,Community Health Center Doiwala Dehradun
CHC Vikasnagar,Public,DEHRADUN,"Paediatric cancer (M4) ,General Surgery (S1) ,,Obstetrics & Gynaecology (S4) ,Paediatric medical management (M2) ,Orthopaedics (S5) ",9411352973,moicchcvikasnagar@gmail.com,SDH VIKASNAGAR
Pandit Deen Dayal Upadhyay govt Hospital Dehradun ,Public,DEHRADUN,"Paediatric medical management (M2) ,Radiation Oncology (M6) ,Medical Oncology (M5) ,Paediatric cancer (M4) ,Follow up Surgical (M13) ,Emergency Room Packages (Care requiring less than 12 hrs stay) (M7) ,General Surgery (S1) ,Otorhinolaryngology (S2) ,Opthalmology (S3) ,Plastic & reconstructive (S10) ,Paediatric surgery (S14) ,,General Medicine (M1) ,Urology (S7) ,Orthopaedics (S5) ,Obstetrics & Gynaecology (S4) ",9368682428,coronationhosp@gmail.com,Curzon Road Dalan wala Dehradun
SPS Govt Hospital Rishikesh,Public,DEHRADUN,"General Surgery (S1) ,Opthalmology (S3) ,Mental Disorders Packages (M8) ,,Orthopaedics (S5) ,Paediatric medical management (M2) ,Obstetrics & Gynaecology (S4) ",6398899532,spsrishikesh@gmail.com,SPS HOSPITAL RISHIKESH
CHC Sahiya,Public,DEHRADUN,Paediatric medical management (M2) ,6398429579,chcsahiya62@gmail.com,SAHIYA
Combined Govt Hospital Prem Nagar,Public,DEHRADUN,",Paediatric cancer (M4) ,Paediatric medical management (M2) ,Opthalmology (S3) ,Otorhinolaryngology (S2) ,General Surgery (S1) ,Obstetrics & Gynaecology (S4) ",8279965876,chpremnagar@gmail.com,Combined Hospital Prem Nagar
CHC Chakrata,Public,DEHRADUN,Paediatric medical management (M2) ,9997424240,chcchakrata@gmail.com,CHC Chakrata
CHC RAIPUR,Public,DEHRADUN,"Paediatric medical management (M2) ,Otorhinolaryngology (S2) ,Obstetrics & Gynaecology (S4) ,Paediatric cancer (M4) ",9927497341,chcraipur2@gmail.com,THANO ROAD RAIPUR
GOVT SAINT MARRY HOSPITAL ,Public,DEHRADUN,"Paediatric cancer (M4) ,Otorhinolaryngology (S2) ,Orthopaedics (S5) ",9917750785,promisstmarry@gmail.com,Kulri Bazar Mussoorie
All India Institute of Medical Sciences Rishikesh,Public,DEHRADUN,"Opthalmology (S3) ,Follow up Surgical (M13) ,General Surgery (S1) ,Mental Disorders Packages (M8) ,Emergency Room Packages (Care requiring less than 12 hrs stay) (M7) ,Radiation Oncology (M6) ,Medical Oncology (M5) ,,Paediatric cancer (M4) ,Paediatric medical management (M2) ,General Medicine (M1) ,Oral and Maxillofacial Surgery (S16) ,,Surgical Oncology (S15) ,Paediatric surgery (S14) ,Cardio-thoracic & Vascular surgery (S13) ,Cardiology (S12) ,Otorhinolaryngology (S2) ,Urology (S7) ,Neurosurgery (S8) ,Interventional Neuroradiology (S9) ,Plastic & reconstructive (S10) ,Burns management (S11) ,Orthopaedics (S5) ,Obstetrics & Gynaecology (S4) ",9720803003,mohit.ortho@aiimsrishikesh.edu.in,"AIIMS, RISHIKESH"
chcsahaspur,Public,DEHRADUN,Obstetrics & Gynaecology (S4) ,9760866488,chcsahaspur@gmail.com,chcsahaspur
STATE MENTAL HEALTH INSTITUTE,Public,DEHRADUN,Follow up Surgical (M13) ,9837180999,drvinaysharmaa@gmail.com,SELAQUI
CHC Mussoorie,Public,DEHRADUN,"Paediatric cancer (M4) ,Paediatric medical management (M2) ,,Obstetrics & Gynaecology (S4) ,General Surgery (S1) ",9457424412,chcmussoorie@gmail.com,CHC MUSSOORIE
PREMSUKH HOSPITAL,PrivateP,DEHRADUN,"Medical Oncology (M5) ,Emergency Room Packages (Care requiring less than 12 hrs stay) (M7) ,Plastic & reconstructive (S10) ,General Surgery (S1) ,Radiation Oncology (M6) ,Otorhinolaryngology (S2) ,Mental Disorders Packages (M8) ,Obstetrics & Gynaecology (S4) ,Orthopaedics (S5) ,General Medicine (M1) ,Paediatric medical management (M2) ",9412998075,amathur384@gmail.com,"17 malviya road,laxman chowk,DEHRADUN"
Navjyoti Eye Hospital,PrivateP,DEHRADUN,Opthalmology                                                    (SE) ,9410771232,wavelasik@gmail.com,Nehru Colony
Jeevan Jyoti clinic,PrivateNP,DEHRADUN,Opthalmology (S3) ,9358106859,jeevanjyotitpa@gmail.com,"24 C-19A,TURNER ROAD ,CLEMEN TOWH"
M M NAITHANI EYE CENTRE,PrivateP,DEHRADUN,Opthalmology (S3) ,8171125871,mmnec.dehradun@gmail.com,"67/4 pritam road,dalanwala,dehradun"
RAMRATI EYE HOSPITAL,PrivateP,DEHRADUN,Opthalmology (S3) ,9258334800,drkumarsanju@yahoo.com,"34/2 , special wing , Premnagar"
SUBHARTI HOSPITAL ,PrivateNP,DEHRADUN,"Obstetrics & Gynaecology (S4) ,Opthalmology (S3) ,Otorhinolaryngology (S2) ,General Surgery (S1) ,Mental Disorders Packages (M8) ,Paediatric cancer (M4) ,Paediatric medical management (M2) ,,Orthopaedics (S5) ",8194007324,msbycell.subhartiddn@gmail.com,"Dr. KKBM Subharti Hospital, Jhajhara chakrata road dehradun"
Drishti Eye Institute,PrivateP,DEHRADUN,Opthalmology (S3) ,9897682401,drishti.dehradun@gmail.com,"16 Subhash Road, Astley Hall"
Nirmal Ashram Eye Institute,PrivateNP,DEHRADUN,Opthalmology (S3) ,7055423456,ayushmanbharat@naeirksh.org,"Khairi-Kalan, Near Nepali Farm, P.O. Satyanarayan"
SWAMI RAMA HIMALAYAN UNIVERSITY,PrivateNP,DEHRADUN,"Radiation Oncology (M6) ,,Medical Oncology (M5) ,,Paediatric cancer (M4) ,Paediatric medical management (M2) ,General Medicine (M1) ,Oral and Maxillofacial Surgery (S16) ,General Surgery (S1) ,Otorhinolaryngology (S2) ,Opthalmology (S3) ,Obstetrics & Gynaecology (S4) ,Mental Disorders Packages (M8) ,Orthopaedics (S5) ,Urology (S7) ,Neurosurgery (S8) ,Interventional Neuroradiology (S9) ,Emergency Room Packages (Care requiring less than 12 hrs stay) (M7) ,Plastic & reconstructive (S10) ,Burns management (S11) ,Cardiology (S12) ,Cardio-thoracic & Vascular surgery (S13) ,Surgical Oncology (S15) ",6397083884,billing.ab@srhu.edu.in,Swami Ram Nagar
Shri Mahant Indiresh Hospital,PrivateNP,DEHRADUN,"Paediatric cancer (M4) ,Opthalmology (S3) ,Otorhinolaryngology (S2) ,Surgical Oncology (S15) ,General Medicine (M1) ,General Surgery (S1) ,Orthopaedics (S5) ,Paediatric medical management (M2) ,Mental Disorders Packages (M8) ,Emergency Room Packages (Care requiring less than 12 hrs stay) (M7) ,Radiation Oncology (M6) ,Medical Oncology (M5) ,,Obstetrics & Gynaecology (S4) ,Urology (S7) ,Interventional Neuroradiology (S9) ,Plastic & reconstructive (S10) ,Paediatric surgery (S14) ,",9389922422,msoffice@sgrrmc.com,PATEL NAGAR
KANDARI NURSING HOME,PrivateP,DEHRADUN,General Surgery (S1) ,9760244482,droskandari@gmail.com,331/2 dehradun road rishikesh uttarakhand
Ramakrishna Mission Ashrama Vivekananda Netralaya,PrivateNP,DEHRADUN,Opthalmology (S3) ,7017506825,prithviraj@vivekanandanetralaya.org,RAMAKRISHNA MISSION ASHRAMA VIVEKANANDA NETRALAYA
Krishna Medical Centre,PrivateP,DEHRADUN,"Paediatric surgery (S14) ,Paediatric cancer (M4) ,Paediatric medical management (M2) ,General Medicine (M1) ,,Cardiology (S12) ,Plastic & reconstructive (S10) ,,Interventional Neuroradiology (S9) ,Emergency Room Packages (Care requiring less than 12 hrs stay) (M7) ,Mental Disorders Packages (M8) ,Orthopaedics (S5) ,Obstetrics & Gynaecology (S4) ,Otorhinolaryngology (S2) ,General Surgery (S1) ,Opthalmology (S3) ",9411727000,contact@samarpankmc.com,"22-INDER ROAD, DALANWALA"
S.K.MEMORIAL HOSPITAL,PrivateP,DEHRADUN,"General Medicine (M1) ,,Surgical Oncology (S15) ,Otorhinolaryngology (S2) ,General Surgery (S1) ,Mental Disorders Packages (M8) ,Radiation Oncology (M6) ,Obstetrics & Gynaecology (S4) ,Interventional Neuroradiology (S9) ,Orthopaedics (S5) ,Paediatric medical management (M2) ",9557181742,skmemorial.hr@gmail.com,"12 East Canal Road, Dehradun"
SUNANDA MEDICAL CENTRE,PrivateP,DEHRADUN,"Otorhinolaryngology (S2) ,General Medicine (M1) ,Paediatric medical management (M2) ,Interventional Neuroradiology (S9) ,Obstetrics & Gynaecology (S4) ,General Surgery (S1) ",9927361964,sunandahospital321@gmail.com,ASHWANI ENCLAVE LANE 1 SHIMLA BYPASS DEHRADUN
Dr. Kohli Laproscopic Multispeciality Hospital    RISHIKESH,PrivateNP,DEHRADUN,"Paediatric cancer (M4) ,Paediatric medical management (M2) ,",8475005009,kohlihospital@gmail.com,"Tilak Road, RISHIKESH"
ARIHANT ADVANCE SURGERY & FERTILITY CENTER DEHRADUN,PrivateP,DEHRADUN,"General Surgery (S1) ,Interventional Neuroradiology (S9) ,Obstetrics & Gynaecology (S4) ",8755703129,arihanttpa@gmail.com,"18 Main Haridwar Road, Shastri Nagar, Dehradun"
GOVIND HOSPITAL,PrivateP,DEHRADUN,"Otorhinolaryngology (S2) ,Obstetrics & Gynaecology (S4) ,Orthopaedics (S5) ,Paediatric medical management (M2) ,General Surgery (S1) ",9412029353,GOVINDHOSPITAL.HR@GMAIL.COM,GOVIND HOSPITAL
JOSHI MULTISPECIALITY HOSPITAL,PrivateP,DEHRADUN,"Orthopaedics (S5) ,Obstetrics & Gynaecology (S4) ,General Surgery (S1) ,",9557898152,joshihealthcareselaqui@gmail.com,JOSHI MULTISPECIALTY HOSPITAL
Chardham Hospital,PrivateP,DEHRADUN,General Medicine                                                (MG) ,8218802644,chardhamhospital@gmail.com,118 E Nehru Colony
DOON INSTITUTE OF MEDICAL SCIENCES & HOSPITAL,PrivateNP,DEHRADUN,"Paediatric medical management (M2) ,General Medicine (M1) ,Orthopaedics (S5) ,Obstetrics & Gynaecology (S4) ,General Surgery (S1) ",9870645799,dimsdehradoon@gmail.com,"VILLAGE- SHANKARPUR, SAHASPUR, TEHSIL-VIKASNAGAR"
NICE HOSPITAL,PrivateP,DEHRADUN,"Cardiology                                                      (MC) ,Urology                                                         (SU) ,General Surgery                                                 (SG) ,Orthopaedics                                                    (SB) ,Neurosurgery                                                    (SN) ",7895155794,info@nicehospital.org,50-A SUBHASH ROAD 
Vinod Ortho Clinic,PrivateP,DEHRADUN,"Orthopaedics                                                    (SB) ,Obstetrics   Gynaecology                                        (SO) ",8076981610,rawatrajesh1617@yahoo.com,"4, 6 Inder Road, Dalanwala"
Shree Eye Care ,PrivateNP,DEHRADUN,Opthalmology                                                    (SE) ,9557687267,shreeeyecaretpa@gmail.com,"199, Nirman Vihar, Near Rispana Bridge, Haridwar Bypass Road"
LANDOUR COMMUNITY HOSPITAL,PrivateNP,DEHRADUN,"General Surgery                                                 (SG) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ,General Medicine                                                (MG) ,Orthopaedics                                                    (SB) ",8979189127,mussoorie@eha-health.org,Near Old Tehri Bus Stand
Shiv Chikitsalay,PrivateP,DEHRADUN,"Obstetrics   Gynaecology                                        (SO) ,Orthopaedics                                                    (SB) ,General Medicine                                                (MG) ,General Surgery                                                 (SG) ,Opthalmology                                                    (SE) ",8553428919,shivchikitsalay@gmail.com,33 Raj Vihar Phase 2 Chakrata Road
CITY HEART CENTRE,PrivateP,DEHRADUN,Cardiology                                                      (MC) ,7900690628,lk2786110@gmail.com,"55, E.C ROAD DEHRADUN"
Life Line Hospital & Urology Institute ,PrivateNP,DEHRADUN,Interventional Neuroradiology (S9) ,9927012218,dunlifeline@gmail.com,"98/18 pragati vihar,dharampur"
NETRAM EYE CARE,PrivateP,DEHRADUN,Opthalmology                                                    (SE) ,9927755044,BMVINODKUMAR88@GMAIL.COM,"7/3, GROUND FLOOR, SHIVAM TOWER,HATHIBARKALA SALWALA"
Vibhuti Superspeciality Hospital,PrivateNP,DEHRADUN,"Obstetrics   Gynaecology                                        (SO) ,Paediatric Medical management                                   (MP) ,General Surgery                                                 (SG) ,General Medicine                                                (MG) ,Urology                                                         (SU) ,Orthopaedics                                                    (SB) ",8489889130,info@vibhutihospitals.com,"Maharana Complex, Near Anna Hajare Chowk Shimla Bypass Road, Mehuwala, Dehradun"
MEDITRINA HOSPITALS,PrivateP,DEHRADUN,"Cardio-thoracic   Vascular surgery                              (SV) ,Cardiology                                                      (MC) ",9072258101,Centrehead.ddn@meditrinahospital.com,"2nd floor, Coronation hospital"
UTTARANCHAL DENTAL & MEDICAL RESEARCH INSTITUTE,PrivateP,DEHRADUN,"Oral and Maxillofacial Surgery                                  (SM) ,Urology                                                         (SU) ,Obstetrics   Gynaecology                                        (SO) ,General Surgery                                                 (SG) ,General Medicine                                                (MG) ",9130572752,drpreetiuttaranchalhospital@gmail.com,"Mazri Grant, Haridwar Road"
GRAPHIC ERA INSTITUTE OF MEDICAL SCIENCES  &  GRAPHIC ERA HOSPITAL ,PrivateNP,DEHRADUN,"Paediatric Medical management                                   (MP) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ,General Surgery                                                 (SG) ,General Medicine                                                (MG) ,Opthalmology                                                    (SE) ,Obstetrics   Gynaecology                                        (SO) ,Orthopaedics                                                    (SB) ,Neurosurgery                                                    (SN) ,Polytrauma                                                      (ST) ,Neo-natal care Packages                                         (MN) ",7351643115,udaynegi121@gmail.com,Dhoolkot Selaqui Road 
Panacea Hospital ,PrivateP,DEHRADUN,"General Surgery                                                 (SG) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ,Obstetrics   Gynaecology                                        (SO) ,Urology                                                         (SU) ,General Medicine                                                (MG) ,Infectious Diseases (ID) ,Orthopaedics                                                    (SB) ,Neurosurgery                                                    (SN) ,Polytrauma                                                      (ST) ",8750937300,rishikeshpanaceatpa@gmail.com,Panacea Hospital Rishikesh
Panacea Hospital,PrivateP,DEHRADUN,"Infectious Diseases (ID) ,Neurosurgery                                                    (SN) ,Urology                                                         (SU) ,Polytrauma                                                      (ST) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ,General Medicine                                                (MG) ,General Surgery                                                 (SG) ,Obstetrics   Gynaecology                                        (SO) ,Orthopaedics                                                    (SB) ",8630070909,doonpanaceahospital@gmail.com,"529, Haridwar Road, Opp LIC Building, Dharampur"
Kailash Omega Cancer Centre,PrivateP,DEHRADUN,"Medical Oncology                                                (MO) ,Radiation Oncology                                              (MR) ,Surgical Oncology                                               (SC) ",8897935057,lakshmiprasad5ster@gmail.com,"MAIN HARIDWAR ROAD, NEAR JOGIWALA CHOWK"
ARYAN MULTISPECIALITY HOSPITAL,PrivateP,DEHRADUN,"General Medicine                                                (MG) ,Orthopaedics                                                    (SB) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ,Paediatric Medical management                                   (MP) ,Neo-natal care Packages                                         (MN) ,General Surgery                                                 (SG) ,Infectious Diseases (ID) ,Obstetrics   Gynaecology                                        (SO) ",9410742022,aryanhospitalddn1@gmail.com,Gurudwara shri Guru singh sabha Langar Hall Rishikesh Road Doiwala
spandan heart center,PrivateP,DEHRADUN,Cardiology                                                      (MC) ,9557906880,spandanheartcenter2022@gmail.com,"1st Floor Shivalik MRI Center, Visthapit Colony, Behind Hotel Kailash Ganga,"
Baluni Hospital ,PrivateP,DEHRADUN,"Orthopaedics                                                    (SB) ,Urology                                                         (SU) ,Obstetrics   Gynaecology                                        (SO) ,General Medicine                                                (MG) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ,General Surgery                                                 (SG) ",7017532638,balunihospital@gmail.com,"Ring road, Near Jogiwala chowk, Viveka Nand Gram-Phase-I, Dehradun, Uttarakhand"
Aarogyadham Super Speciality Hospital & Research center,PrivateP,DEHRADUN,"Urology                                                         (SU) ,Medical Oncology                                                (MO) ,General Medicine                                                (MG) ,General Surgery                                                 (SG) ,Surgical Oncology                                               (SC) ",9997171008,contact@aarogyadhamhospital.com,06- NEW ROAD
SINGH EYE HOSPITAL,PrivateP,DEHRADUN,Opthalmology                                                    (SE) ,9412347530,singheyehospitals@gmail.com,"230 Araghar Chowk, Haridwar Road Dehradun"
Herbertpur Christian Hospital,PrivateNP,DEHRADUN,"Paediatric medical management (M2) ,General Medicine (M1) ,General Surgery (S1) ,Otorhinolaryngology (S2) ,Orthopaedics (S5) ,Paediatric cancer (M4) ,,Obstetrics & Gynaecology (S4) ,Opthalmology (S3) ,Neurosurgery (S8) ",9412935106,ayushmanhch@gmail.com,HERBERTPUR CHRISTIAN HOSPITAL
KESHAV MEDICAL CENTRE,PrivateP,DEHRADUN,"Otorhinolaryngology (S2) ,Obstetrics & Gynaecology (S4) ,General Surgery (S1) ",9837116987,keshavmedicalcentre@gmail.com,"GMS ROAD, NEAR OLYMPUS HIGH SCHOOL"
Medicare hospital,PrivateP,DEHRADUN,"Otorhinolaryngology (S2) ,Obstetrics & Gynaecology (S4) ,General Surgery (S1) ,Mental Disorders Packages (M8) ,Paediatric medical management (M2) ,Orthopaedics (S5) ,General Medicine (M1) ,",9897716379,medicarehospitalab@gmail.com,"CHAKRATA ROAD, NEAR SPICE HOTEL SELAQUI"
ANAND NETRALAYA,PrivateNP,DEHRADUN,Opthalmology (S3) ,9997999703,nitin@anandnetralaya.com,"19, TILAK ROAD, DEHRADUN"
Velmed hospitals,PrivateNP,DEHRADUN,"Medical Oncology (M5) ,Orthopaedics (S5) ",8394922226,Corporate.velmed@gmail.com,"TURNER ROAD, CLEMENT TOWN, NR ISBT, DEHRADUN"
CHC BHAGWANPUR,Public,HARIDWAR,,9045678906,chcbhagwanpur@gmail.com,Bhagwanpur
JNSM Govt Combined Hospital Roorkee,Public,HARIDWAR,"Orthopaedics (S5) ,General Surgery (S1) ,Obstetrics & Gynaecology (S4) ,Cardio-thoracic & Vascular surgery (S13) ,Paediatric medical management (M2) ,Paediatric cancer (M4) ,",7217351002,hmroorkee2017@gmail.com,"Eid Gah Chaouk Near Ramnagar, Dehradoon Road Roorkee"
CRW HOSPITAL HARIDWAR,Public,HARIDWAR,",Obstetrics & Gynaecology (S4) ",8279749249,qmudhharidwar@gmail.com,"CHAINRAI DISTT FEMALE HOSPITAL, UPPER ROAD,"
Harmilap Mission District Hospital,Public,HARIDWAR,"Orthopaedics (S5) ,Opthalmology (S3) ,Paediatric cancer (M4) ,Otorhinolaryngology (S2) ,Medical Oncology (M5) ,General Surgery (S1) ,Paediatric medical management (M2) ",8279749249,hmghospital@gmail.com,Harmilap Mission District Hospital
CHC NARSAN,Public,HARIDWAR,Paediatric medical management (M2) ,7895003282,chcnarsan@gmail.com,Gurukul Narsan
Chc laksar,Public,HARIDWAR,Obstetrics & Gynaecology (S4) ,9997030381,bpmulaksar@gmail.com,"chc laksar, society road laksar"
Chc khanpur,Public,HARIDWAR,Obstetrics & Gynaecology (S4) ,7060927335,bpmukhanpur@gmail.com,"chc khanpur, khanpur near block office"
CHC BAHADRABAD,Public,HARIDWAR,"General Surgery (S1) ,Obstetrics & Gynaecology (S4) ",9758180997,chcbahadrabad@gmail.com,Bahadrabad
Govt Mela Hospital,Public,HARIDWAR,"Paediatric medical management (M2) ,General Surgery (S1) ",9412034991,govtmelahospital@gmail.com,BILKESHWAR ROAD
VEDANTA JYOTI EYE HOSPITAL,PrivateP,HARIDWAR,Opthalmology (S3) ,9760481017,vjehospital@gmail.com,Near Bharat Furniture Chawmandi Roorkee
Dev Bhoomi Hospital and Medical Research Centre,PrivateP,HARIDWAR,"Obstetrics & Gynaecology (S4) ,Mental Disorders Packages (M8) ,Paediatric medical management (M2) ,Paediatric cancer (M4) ,General Surgery (S1) ,Orthopaedics (S5) ",9639001764,newdevbhoomihospital@gmail.com,173 new Haridwar Colony Near Water Tank
Abhilasha Eye Hospital,PrivateP,HARIDWAR,Opthalmology (S3) ,9870934586,abhilashaeyehospital@gmail.com,"Railway Road, Roorkee"
